code,description,price,unit,bundle,minimum_sale
MEC009,MECHA HSS 1/16 DORADA DIN 338 KIEFER,"0,00",PZA,5000,100
MEC010,MECHA HSS 19/64 DORADA DIN 338 KIEFER,"33,99",PZA,900,50
MEC011,MECHA HSS 25/64 DORADA DIN 338 KIEFER,"59,97",PZA,500,50
MEC014,MECHA HSS 21/64 DORADA DIN 338 KIEFER,"42,98",PZA,1000,50
MEC015,MECHA HSS 23/64 DORADA DIN 338 KIEFER,"0,00",PZA,500,50
MEC016,MECHA HSS 13/32 DORADA DIN 338 KIEFER,"92,96",PZA,500,50
MEC017,MECHA HSS 1/8 DORADA DIN 338 KIEFER,"8,00",PZA,4000,100
MEC020,MECHA HSS 15/64 DORADA DIN 338 KIEFER,"0,00",PZA,2000,100
MEC032,MECHA HSS 1/4 DORADA DIN 338 KIEFER,"25,98",PZA,1400,50
MEC033,MECHA HSS 27/64 DORADA DIN 338 KIEFER,"81,97",PZA,500,50
MEC034,MECHA HSS 17/64 DORADA DIN 338 KIEFER,"0,00",PZA,900,50
MEC039,MECHA HSS 15/32 DORADA DIN 338 KIEFER,"122,93",PZA,300,50
MEC042,MECHA HSS 11/32 DORADA DIN 338 KIEFER,"0,00",PZA,1000,50
MEC045,MECHA HSS 1/2 DORADA DIN 338 KIEFER,"0,00",PZA,300,50
MEC080,"MECHA CONCRETO 1/8 x 2.5"" DIN 8039 KIEFER","0,00",PZA,3000,100
MEC081,"MECHA CONCRETO 5/32 x 3"" DIN 8039 KIEFER","0,00",PZA,500,50
MEC082,"MECHA CONCRETO 3/16 x 3.5"" DIN 8039 KIEFER","17,58",PZA,1500,150
MEC083,"MECHA CONCRETO 1/4 x 4"" DIN 8039 KIEFER","20,00",PZA,1000,100
MEC084,"MECHA CONCRETO 5/16 x 5"" DIN 8039 KIEFER","29,99",PZA,600,120
MEC085,"MECHA CONCRETO 3/8 x 5"" DIN 8039 KIEFER","29,99",PZA,500,100
MEC086,"MECHA CONCRETO 7/16 x 6"" DIN 8039 KIEFER","54,97",PZA,250,50
MEC087,"MECHA CONCRETO 1/2 x 6"" DIN 8039 KIEFER","56,99",PZA,250,50
